"Gateway Name","Gateway SN","Gateway IP Address","Gateway MAC Address","Device Name","Device Local ID","Device Type ID","Device Type Name","Logging Interval","Historical Intervals"
"EcoStruxure Panel Server","542126410133","10.0.0.35","00:00:54:E5:14:B7","34 DB PD7","modbus:13_mb_81","PM5310","PM5310","10","72"

"","","","Topic ID1"
"","","","modbus:13_mb_WHr_I"

"Error","UTC Offset (minutes)","Local Time Stamp","TotalDeliveredActiveEnergy (Wh)"
"0","0","2025-03-25 13:50:00","762472421"
"0","0","2025-03-25 14:00:00","762474408"
"0","0","2025-03-25 14:10:00","762476294"
"0","0","2025-03-25 14:20:00","762478180"
"0","0","2025-03-25 14:30:00","762480096"
"0","0","2025-03-25 14:40:00","762482031"
"0","0","2025-03-25 14:50:00","762483911"
"0","0","2025-03-25 15:00:00","762485795"
"0","0","2025-03-25 15:10:00","762487667"
"0","0","2025-03-25 15:20:00","762489541"
"0","0","2025-03-25 15:30:00","762491518"
"0","0","2025-03-25 15:40:00","762493385"
"0","0","2025-03-25 15:50:00","762495275"
"0","0","2025-03-25 16:00:00","762497300"
"0","0","2025-03-25 16:10:00","762499040"
"0","0","2025-03-25 16:20:00","762500764"
"0","0","2025-03-25 16:30:00","762502651"
"0","0","2025-03-25 16:40:00","762504491"
"0","0","2025-03-25 16:50:00","762506192"
"0","0","2025-03-25 17:00:00","762507922"
"0","0","2025-03-25 17:10:00","762509732"
"0","0","2025-03-25 17:20:00","762511435"
"0","0","2025-03-25 17:30:00","762513141"
"0","0","2025-03-25 17:40:00","762514843"
"0","0","2025-03-25 17:50:00","762516541"
"0","0","2025-03-25 18:00:00","762518227"
"0","0","2025-03-25 18:10:00","762519922"
"0","0","2025-03-25 18:20:00","762521626"
"0","0","2025-03-25 18:30:00","762523311"
"0","0","2025-03-25 18:40:00","762525027"
"0","0","2025-03-25 18:50:00","762526777"
"0","0","2025-03-25 19:00:00","762528500"
"0","0","2025-03-25 19:10:00","762530236"
"0","0","2025-03-25 19:20:00","762531990"
"0","0","2025-03-25 19:30:00","762533720"
"0","0","2025-03-25 19:40:00","762535433"
"0","0","2025-03-25 19:50:00","762537167"
"0","0","2025-03-25 20:00:00","762538902"
"0","0","2025-03-25 20:10:00","762540632"
"0","0","2025-03-25 20:20:00","762542585"
"0","0","2025-03-25 20:30:00","762544494"
"0","0","2025-03-25 20:40:00","762546725"
"0","0","2025-03-25 20:50:00","762548917"
"0","0","2025-03-25 21:00:00","762551105"
"0","0","2025-03-25 21:10:00","762553284"
"0","0","2025-03-25 21:20:00","762555467"
"0","0","2025-03-25 21:30:00","762557657"
"0","0","2025-03-25 21:40:00","762559851"
"0","0","2025-03-25 21:50:00","762562067"
"0","0","2025-03-25 22:00:00","762564277"
"0","0","2025-03-25 22:10:00","762566531"
"0","0","2025-03-25 22:20:00","762568903"
"0","0","2025-03-25 22:30:00","762571119"
"0","0","2025-03-25 22:40:00","762573424"
"0","0","2025-03-25 22:50:00","762575664"
"0","0","2025-03-25 23:00:00","762577932"
"0","0","2025-03-25 23:10:00","762580169"
"0","0","2025-03-25 23:20:00","762582419"
"0","0","2025-03-25 23:30:00","762584667"
"0","0","2025-03-25 23:40:00","762586911"
"0","0","2025-03-25 23:50:00","762589145"
"0","0","2025-03-26 00:00:00","762591537"
"0","0","2025-03-26 00:10:00","762593773"
"0","0","2025-03-26 00:20:00","762596005"
"0","0","2025-03-26 00:30:00","762598226"
"0","0","2025-03-26 00:40:00","762600433"
"0","0","2025-03-26 00:50:00","762602650"
"0","0","2025-03-26 01:00:00","762604877"
"0","0","2025-03-26 01:10:00","762607096"
"0","0","2025-03-26 01:20:00","762609344"
"0","0","2025-03-26 01:30:00","762611575"
"0","0","2025-03-26 01:40:00","762613816"
