"Gateway Name","Gateway SN","Gateway IP Address","Gateway MAC Address","Device Name","Device Local ID","Device Type ID","Device Type Name","Logging Interval","Historical Intervals"
"EcoStruxure Panel Server","542126410133","10.0.0.35","00:00:54:E5:14:B7","33 Rectifier Cell 1","modbus:14_mb_81","PM5310","PM5310","10","72"

"","","","Topic ID1"
"","","","modbus:14_mb_WHr_I"

"Error","UTC Offset (minutes)","Local Time Stamp","TotalDeliveredActiveEnergy (Wh)"
"0","0","2025-03-25 13:50:00","1927042849"
"0","0","2025-03-25 14:00:00","1927048527"
"0","0","2025-03-25 14:10:00","1927054194"
"0","0","2025-03-25 14:20:00","1927059861"
"0","0","2025-03-25 14:30:00","1927065549"
"0","0","2025-03-25 14:40:00","1927071240"
"0","0","2025-03-25 14:50:00","1927076942"
"0","0","2025-03-25 15:00:00","1927082638"
"0","0","2025-03-25 15:10:00","1927088353"
"0","0","2025-03-25 15:20:00","1927094073"
"0","0","2025-03-25 15:30:00","1927099788"
"0","0","2025-03-25 15:40:00","1927105511"
"0","0","2025-03-25 15:50:00","1927111250"
"0","0","2025-03-25 16:00:00","1927116991"
"0","0","2025-03-25 16:10:00","1927122730"
"0","0","2025-03-25 16:20:00","1927128477"
"0","0","2025-03-25 16:30:00","1927134229"
"0","0","2025-03-25 16:40:00","1927139990"
"0","0","2025-03-25 16:50:00","1927145756"
"0","0","2025-03-25 17:00:00","1927151524"
"0","0","2025-03-25 17:10:00","1927157301"
"0","0","2025-03-25 17:20:00","1927163055"
"0","0","2025-03-25 17:30:00","1927168820"
"0","0","2025-03-25 17:40:00","1927174582"
"0","0","2025-03-25 17:50:00","1927180349"
"0","0","2025-03-25 18:00:00","1927186136"
"0","0","2025-03-25 18:10:00","1927191934"
"0","0","2025-03-25 18:20:00","1927197730"
"0","0","2025-03-25 18:30:00","1927203533"
"0","0","2025-03-25 18:40:00","1927209332"
"0","0","2025-03-25 18:50:00","1927215146"
"0","0","2025-03-25 19:00:00","1927220969"
"0","0","2025-03-25 19:10:00","1927226798"
"0","0","2025-03-25 19:20:00","1927232508"
"0","0","2025-03-25 19:30:00","1927238105"
"0","0","2025-03-25 19:40:00","1927242009"
"0","0","2025-03-25 19:50:00","1927247494"
"0","0","2025-03-25 20:00:00","1927253016"
"0","0","2025-03-25 20:10:00","1927258551"
"0","0","2025-03-25 20:20:00","1927264102"
"0","0","2025-03-25 20:30:00","1927268545"
"0","0","2025-03-25 20:40:00","1927269971"
"0","0","2025-03-25 20:50:00","1927271701"
"0","0","2025-03-25 21:00:00","1927276416"
"0","0","2025-03-25 21:10:00","1927280707"
"0","0","2025-03-25 21:20:00","1927286076"
"0","0","2025-03-25 21:30:00","1927291446"
"0","0","2025-03-25 21:40:00","1927296834"
"0","0","2025-03-25 21:50:00","1927302204"
"0","0","2025-03-25 22:00:00","1927307504"
"0","0","2025-03-25 22:10:00","1927311451"
"0","0","2025-03-25 22:20:00","1927316847"
"0","0","2025-03-25 22:30:00","1927322244"
"0","0","2025-03-25 22:40:00","1927327658"
"0","0","2025-03-25 22:50:00","1927333062"
"0","0","2025-03-25 23:00:00","1927338465"
"0","0","2025-03-25 23:10:00","1927343862"
"0","0","2025-03-25 23:20:00","1927346178"
"0","0","2025-03-25 23:30:00","1927351503"
"0","0","2025-03-25 23:40:00","1927356931"
"0","0","2025-03-25 23:50:00","1927362367"
"0","0","2025-03-26 00:00:00","1927367795"
"0","0","2025-03-26 00:10:00","1927373210"
"0","0","2025-03-26 00:20:00","1927378641"
"0","0","2025-03-26 00:30:00","1927384073"
"0","0","2025-03-26 00:40:00","1927389489"
"0","0","2025-03-26 00:50:00","1927394926"
"0","0","2025-03-26 01:00:00","1927400358"
"0","0","2025-03-26 01:10:00","1927405792"
"0","0","2025-03-26 01:20:00","1927411232"
"0","0","2025-03-26 01:30:00","1927416657"
"0","0","2025-03-26 01:40:00","1927422106"
